	Iozone: Performance Test of File I/O
	        Version $Revision: 3.434 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Feb 11 01:27:30 2016

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
          262144     256   152841   145955  7109962  7193647  7092259   154487  7201327   6786027   7189272   158529   145527  7111479  7190871
          262144     512   153792   145551  7293135  7401436  7303259   153896  7252580   6508689   7344433   159275   145538  7381016  7408119
          262144    1024   154337   145771  7519683  7686591  7672645   154097  7424878   6774112   7435472   157969   147128  7538915  7570266
          262144    2048   153361   145489  7637151  7711011  7487932   154018  7762620   6828636   7704473   158905   149023  7661898  7667508
          262144    4096   154510   146257  7457410  7573343  7490228   154953  7049696   6271248   6571357   161405   151787  7394965  7503979
          262144    8192   154192   145702  7368353  7391187  7428088   155942  7493495   6126272   7337228   161928   157765  7457207  7519889
          262144   16384   154352   146191  4879544  5329523  5156970   161472  5301206   3224915   5237021   176525   171254  4494538  4783733
          524288      64    91362    81323  8265208  8250943  7915457    85228  7883193   7901265   7830810    81521    82416  8184062  8178461
          524288     128    91860    81334  7753091  7932102  7716499    85206  7924413   7728540   7789618    81544    82510  7929957  7956526
          524288     256    92009    81448  7238538  7319810  7165140    85535  7318153   6990617   7244954    81966    82634  7067864  7147278
          524288     512    92349    81446  7386515  7545558  7466469    85214  7370521   6552028   7318884    82653    82805  7367114  7368669
          524288    1024    92258    81426  7271353  7505997  7420713    84283  7443042   6584477   7487902    83539    82775  7661546  7750932
          524288    2048    92027    81333  7290277  7497629  7519061    84710  7708870   6674734   7528019    83122    83145  7650937  7550118
          524288    4096    92223    81446  7441053  7612374  7417134    84811  7502259   6486549   7591980    82865    83214  7540125  7635025
          524288    8192    92121    81934  6775840  7501593  7374254    84991  7417460   6279052   7356147    82124    83483  7542400  7577617
          524288   16384    92265    81487  5426902  5609040  5467992    85999  5617451   3487370   5424332    78797    79889  5687347  5798426

iozone test complete.
